Epoch,LeNet,AlexNet,TensorFlow
0,2.303531221,2.302544412,2.303029128
1,2.301746621,2.302299324,2.300891417
2,2.299808177,2.302080487,2.298341221
3,2.297138654,2.301670379,2.29420381
4,2.292393929,2.3011269,2.286106103
5,2.281151379,2.300163123,2.267472263
6,2.251589012,2.298213916,2.220690243
7,2.208905055,2.29249951,2.140998326
8,2.157859594,2.263359169,2.06853061
9,2.091796278,2.149441008,2.021988283
10,2.02815931,2.031410843,1.98452663
11,1.975659538,1.933496586,1.940976751
12,1.917867207,1.853765364,1.891390595
13,1.86429315,1.782394938,1.839968625
14,1.812505937,1.722018256,1.792365683
